paper_id,title,journal,year,abstract,link
P0031,Numerical Analysis of The Crater Diameter and Penetration Depth of The Target Due to The Impact of Short-Rod Segmented Projectiles at High Velocity,International Journal of Advanced Design and Manufacturing Technology,2022,"This paper deals with the numerical simulation of segmented projectiles. A segmented projectile is a subset of kinetic energy projectiles. The segmented projectile is made of tungsten and the target is semi-infinite and is made of ۴۳۴۰ steels. Due to the disadvantages of segmented projectiles with, the simulation of segmented projectile with is discussed. Projectiles with aspect ratio greater than one are known as short-rod projectiles. This aspect ratio range forms both the primary and secondary phase of penetration. Numerical simulation was performed by AUTODYN software with Smoothed Particle Hydrodynamic (SPH) method. The use of SPH approach is most consistent with the experimental results. In order to have effective segmented projectiles, greater speeds were used in the simulations. In this range of velocity, due to the hydrodynamic penetration and complete erosion of the rods, the maximum penetration depth is obtained. After a relatively good correlation between the simulation results and the experimental and Hydrocode results, the numerical analysis of the segmented projectiles is performed. The results show an increase in the penetration depth of segmented projectile relative to the continuous type. In the following, the relationship between velocity increase and penetration depth and crater diameter of this type of projectile is investigated. An increase in penetration depth of ۴۰ to ۶۰% has been observed in this type of projectile compared to the continuous projectiles. An increase in penetration depth and crater diameter is observed with increasing impact velocity.",https://en.civilica.com/doc/1611420/
P0032,Explosive Welding Welding of Autonomous Steel Pipe ۱۰۰۰ with Simulation in Autodyn Limited Components Software,5th International Conference on Welding and Non Destructive Testing & 23rd National Conference on Welding & Inspection & 12th National Conference on NDT,2022,"Explosive welding is a solid connection process, which uses controlled explosion energy to create a metallurized bond between homosexual metals.In this study, the internal coating of aluminum tube with stainless steel ۱۰۰ with welding methods by the flu hijacker at an explosion speed of 2 m / s was studied under different stops at the fixed rainfall rate.Autodyn software has been used to investigate and analyze process parameters such as speed and impact pressure, stress, plastic strain and temperature in the collision area.The maximum pressure obtained in the pressure container in all simulations indicates the values ​​of 1 to 2 GB.The plastic stress in the collision area has reached its highest and about 2 MPa and exceeds the strength of the submission of the joints underneath, which will cause the connection.The increase in temperature is at the range of 1 to 2 degrees Celsius, which is less than the melting temperature of the metal and the creation of a high quality welding without topical melting nose.",https://en.civilica.com/doc/1618461/
P0033,A computational model for predicting shock wave at the propulsion explosion,National Conference on the Application of New Technologies in Chemistry and chemical engineering,2022,"Using Autodyn hydrodynamic code, you can simulate the bulb of explosive explosives, such as CL-1, HMX, RDX, TNT, and so on.The results of such calculations can be used to evaluate the effects of shock wave caused by the occurrence of bulb on structures that are located at different intervals of the explosion center.Sometimes the geometry of the system restricts the ability to use simulator software.For example, in the simulation of the explosion inside a reactor, determining the blast pressure peak at distances away from the reactor requires a very high computational cost.To fix this defect, the pressure peak can be calculated in two or more points near the reactor, and using the statistical regression model, the process of pressure changes can be predicted at different intervals and accordingly, safe distance for industrial equipment.Or set people in the vicinity of the explosion site.",https://en.civilica.com/doc/1504010/
P0034,TNT Pressure Pressure Simulation,National Conference on the Application of New Technologies in Chemistry and chemical engineering,2022,"Autodyn's hydrodynamic code can be used to simulate pressure peak from the propulsion explosion, and given that the experimental equations are based on the mass of TNT currency and sometimes the use of these equations for other explosions of other propellants.Errors, so the use of Autodyn software to check the pressure peak has been considered by researchers.It's taken.The amount of shock and return shock wave damage to human health is expressed at intervals of 1.5 m and 2.5 meters, thus using the propulsion explosion simulation can prevent the dangers of explosion when synthesizing these substances.",https://en.civilica.com/doc/1504011/
P0035,Determine the optimal length of the wavelength and analysis of the steel -explosion -proof door in the tunnel,Scientific Journal of Advanced Defense Science and Technology,2021,"The purpose of this study was to evaluate the effect of waveguide in reducing the effect of the explosion on the tunnel and reducing the load on the tunnel's explosion -proof door and analyzing door types to determine better performance against the explosion.To this end, the spread of the wave caused by the explosion of TNT costs of different weights is simulated at the tunnel crater.Autodyn hydrocytes are used for numerical simulation.Numerical simulation and modeling was compared and validated with analytical and experimental relationships.Due to the maximum pressure at the tunnel intersection, the appropriate wavefront location, the optimization length of the wave and its effect on the maximum pressure level of the tunnel is evaluated.The output of the tunnel (explosion -proof door) from this model -based explosive load was transferred to ABAQUS software to analyze and compare the types of explosion -proof doors.Due to the explosion-proof door, the hinge door was analyzed with different flat and arc geometry using ABAQUS software and the maximum change and von-miles stress compared the doors.The results show that the performance of the arc door is better than the flat door.",https://en.civilica.com/doc/1434811/
P0036,Plastic deformation of synergic and non -metallic multilayer sheets with constant surface density under frequent excretion,Aerospace Mechanics,2022,"In the present study, the mechanism of large -scale plastic and non -metallic and non -metallic metal sheets with constant surface density has been examined under uniform recurrence.The ballistic pendulum system along with a 5mm -high -incisure pipeline was used to apply explosive loads to the sample.The experimental sample was considered in three different single, two and three layers with eight different layers.To create the same loading and experimental conditions, 5 grams of plastic explosives were used and the dynamic response of each structure was studied up to 3 frequent loading loads.Laboratory results indicate a large deformation of plastic with thinning at the border borders as well as the tearing of some experiments.The results also showed that with the increase in the number of explosions, the most permanent rise of the sheets increased, and with the increase in the number of explosions, the progressive rise of the sheet in the center decreased.In addition, the placement of a thick layer in the front and the support of a thinner structure gives a better performance to the experimental sample against frequent explosive load.The result for multilayer multilayer structures is completely in accordance with the results of non -sexual structures.",https://en.civilica.com/doc/1489896/
P0037,An Optical Measurement System to Measure Velocity and Provide Shock Wave Pressure Diagrams,International Journal of Engineering (IJE),2020,"This paper introduces an optical measurement system for shock wave characteristics. The system works by mountinga metal plate attached to spring mounts against the shock wavefront. This set is sealed and can plot the shock wave pressure diagram by measuring plate s displacement, radiation and changing the reflection of light during shock wave conflict, and converting these optical data to voltage. In the experiments with the optical system, there was no delay time in the wave impact response. Using the optical system and the fixture designed and built, it is also possible to measure the velocity of moving objects and monitor the planar shock wave formation in addition to the shock wave velocity. Then the calibration was performed with the help of a standard piezoresistive sensor in a cold diaphragm shock tube, with a pressure of 5.5 to 12.5 bar by performing 12 tests. Relations and figures for output voltage and shock pressure are also explained.",https://en.civilica.com/doc/1021699/
P0038,Explosive Welding Welding of Autonomous Steel Pipe ۱۰۰۰ with Simulation in Autodyn Limited Components Software,5th International Conference on Welding and Non Destructive Testing & 23rd National Conference on Welding & Inspection & 12th National Conference on NDT,2022,"Explosive welding is a solid connection process, which uses controlled explosion energy to create a metallurized bond between homosexual metals.In this study, the internal coating of aluminum tube with stainless steel ۱۰۰ with welding methods by the flu hijacker at an explosion speed of 2 m / s was studied under different stops at the fixed rainfall rate.Autodyn software has been used to investigate and analyze process parameters such as speed and impact pressure, stress, plastic strain and temperature in the collision area.The maximum pressure obtained in the pressure container in all simulations indicates the values ​​of 1 to 2 GB.The plastic stress in the collision area has reached its highest and about 2 MPa and exceeds the strength of the submission of the joints underneath, which will cause the connection.The increase in temperature is at the range of 1 to 2 degrees Celsius, which is less than the melting temperature of the metal and the creation of a high quality welding without topical melting nose.",https://en.civilica.com/doc/1618461/
P0039,"Neutronic Heart Reactor Model (Mock-Up) V-V-1000 Power using MCNPX2.7.0 Codes, Wims & Citation and Advanced Supermc3.2.0 Program",The International Conference on Interdisciplinary Studies in Management and Engineering,2019,"The purpose of this study is to neutronic heart analysis of the VVER-1000 Reactor Reactor Reactor, using MCNPX2.7.0 codes, Wims & Citation and advanced Supermc3.2.0 program.In order to ensure the accuracy of the modeling, the main parameters of the reactor, such as effective proliferation coefficient, reactral surplus, distribution of flux over various energy intervals, power distribution were investigated and compared.Calculations were performed in the mcnpx2.7.0 and Supermc3.2.0 program with a probability method with 700,000 particles of history in 200 active cycles with KCODE command, so the average deviation from less proliferation coefficient criteria was obtained, with the results indicating the results.Good compatibility with the results presented in the various modeling in this article with previous reports and articles.Due to the calculations made in different modeling, the reactor's heart is crisis by entering 10 %of the group's control bars, in which case the maximum flux and axial power at a height of about 142 cm from the heart of the reactor's heart.",https://en.civilica.com/doc/1022834/
P0040,Calculation of neutronic and kinetic parameters of Isfahan Miniature Neutron Source Reactor using slope fit and perturbation methods,Radiation Physics and Engineering,2020,"Kinetic and neutronic parameters play an important role in analysis of reactors dynamic behavior. Some of these parameters include: effective multiplication factor (keff), reactivity (ρ), neutron flux as well as power spatial distributions, effective delayed neutron fraction (βeff) and prompt neutron lifetime (lp ). In this work, Monte Carlo modeling and analysis of Isfahan MNSR is performed for calculation of the kinetic and neutronic parameters of using MCNPX2.6 code, slope fit and perturbation methods. Relative differences between results of the MCNPX2.6 code in calculation of the ρ and βeff and the reference values are about 0.5% and 2.1%, respectively. The relative differences between the results of the slope fit and perturbation methods and MCNPX2.6 code in calculation of the parameter with the reference values are about 17.6%, 4.8% and 29.19%, respectively. Therefore, the results of these research show that the MCNPX2.6 code is suitable for calculation of the reactor kinetic parameters such as the βeff, while the perturbation method is a simple and convenient method for calculating the .",https://en.civilica.com/doc/1142023/
P0041,Investigating the Beta Nickel 2 Integration Depth in Silicon Monte Carlo Using MCNPX Code,Iranian Journal of Radiation Safety and Measurement,2020,"In this study, the spectrum of beta -nickel -2 energy is considered as a full spectrum of energy, moderate spectrum energy, and maximum spectrum energy to evaluate the penetration depth in silicone.Monte Carlo's calculations were performed using MCNPX code on a specified geometry;Following the power stoppage of different energy in silicon was calculated using the Estar computational code.The results have a good agreement.Calculations can be used in the design of semiconductor components of nuclear detectors and dosagers.",https://en.civilica.com/doc/1423136/
P0042,Simulation based on electron therapy during breast surgery,Iranian Journal of Radiation Safety and Measurement,2022,"Electronic therapy during surgery is a relatively new method of direct radiation of ionizing beams to the tumor or bed during surgery.In order to properly treat the target target, it is necessary to examine the radiation and protection curve used to protect the tissue and healthy organs.Radiation therapy during breast surgery requires the protection of sub -target tissues such as heart and lung.In these conditions, a thin layer of high -z material is placed between the treatment tissue (breast) and the vital part of the lower part.Using the MCNPX code, chest, shielding and lung were three cylindrical axes under the radiation of 1, 2, 2 and 2 MB.The amount of flux and dose of electron and secondary photons were calculated in different tissues.Studies have shown that for 2 megalatV electrons, the use of shielding has a slight effect on the dose of tissue surrounding the chest.In 1 and 2 megawl energy, AL-PB protective and ST-PMMA protector almost perform the same function in reducing the dose received by the surrounding tissues around the chest.In 2 megalat voltte energy, AL-PB adsorbent is more well-functioning than ST-PMMA absorbent in reducing doses of adjacent organs of breast tissue.",https://en.civilica.com/doc/1648085/
P0043,ND: YAG Laser Telescopic Design,The third national conference of laboratory equipment and technologies,2022,"This article deals with the design of a ND: YAG Laser Laser Telescopic to increase the TEM 5 fashion volume and correct the effects of heat lenses.The active laser environment designed by the lamp flash is tailored.The ND: YAG laser rod is 2 mm diameter and 1mm length, which is blown with a 2 to 4 Hz -Hz repetition rate. The computing shows that the increase in the laser repetition rate causes a thermal lens with a focal length of 1/2.CM in the laser bar and increased divergence will be up to 4.1.5.1.1. Removing the 4x telescope within the closure of its lenses at different repetition rates reduces divergence by up to 1.2.2.",https://en.civilica.com/doc/1549715/
P0044,Studying the role of high -density carbon dual -carbon dual -density layer,journal of nuclear Science and technology,2023,"The high -density carbon density layer is one of the promising options in its warmer in the goals of the fabrication.In order to reduce hydrodynamic instability as well as the preservation of the pre -heating phenomenon, the design of a binary laminate with the outer layer of high density carbon has recently been used by researchers.Therefore, in this study, we examined the double-layer of the desired spherical target with a single-layer polystyrene laminate using the Multi-OFE hydrodynamic code.This goal was subjected to the radiation of symmetrical laser beams with NS3/1 pulse length, wavelength of 0.5 and total energy of MJ 0.5.Our calculations show that the optimal thickness of the carbon is about 1.5 mm.The use of dual -lane layer will increase the laser energy absorbed at the target surface by approximately 1 %.Increasing the absorbed energy results in an increase of about 1 %of the produced alpha capacity, resulting in a deduction of fuel consumption by about 1.5 %.Eventually fuel interest increased by about 1 %.",https://en.civilica.com/doc/1623554/
P0045,The effect of electron characteristics on optimum transportation inside the pre-plasma density in its fast-shawling model,journal of nuclear Science and technology,2020,"In this study, the impact of electronic energy with a range of 1 to MEV 1, its distribution function and pre-plasma temperature KEV 1-5 TE = on optimal intra-compressed fuel transport with density 1-g.cm 1-5 = ρC inIts rapid-shock model has been studied semi-analytics.The results showed that for KEV ≤ ≤ TE, the colonial logarithm of pregnant particles is poorly dependent on temperature, and the plasma power seems to be almost independent of the background temperature.Therefore, the pre -plasma temperature does not affect the increase in electrons into the fuel, and with the increased energy of the electrons and the decrease in density, the electron's penetration into the fuel increases;The appropriate conditions can be considered in the energy range of the MEV order of 1.5 and the density of 1-gm.cm.Investigating the Effect of Rapid Wave Wave and Electrons Distribution Function on Energy Transmission Improvement showed that the energy distribution function is almost independent of the background temperature and, given the two -temperature spectrum for electrons and the fast -paced wavelength of 0.5 ≈ ≈IF,Electrical Energy Earthquake is performed with a more uniform song in the plasma.Semi -analytical results with Montarloo simulation are verified and show good compatibility with it.",https://en.civilica.com/doc/1361465/
P0046,Investigating the effective parameters in the dotterium-tritium fuel interest in the shock-laser shock method with laser beam,KARAFAN,2021,"The shock is one of the ways in which the idea of ​​coexistence is the enclosure.In this method, the boiling, the two -step enclosure, compression and fuel flammation are made separately, which reduces the requirements of the launch and enhances the utilization.In the idea of ​​shock flammability, a strong spherical shock wave at the end of the initial laser pulse causes the fuse of compressed fuel.In shock flammability, when the hot stain pressure is much larger than the cold fuel pressure around it, the fuel structure is considered as non -pressure.In this study, flammable and fuel-interest conditions are investigated in shock flammability, then improves fuel interest relationships as well as the radius of hot stain in the non-stress model and with the numerical results of the fuel-based dualium-tritium (DT) in the method.Shock, compared.Calculations indicate that the conditions of hot stain formation depend on the density of the hot stain and the cold fuel around it.Also, using improved energy interest equation, the role of physical parameters;Including fuel mass and various ratios of hot stain pressure to the cold fuel pressure surrounding it was investigated in energy interest.",https://en.civilica.com/doc/1271749/
P0047,Enhancing inertial confinement fusion with doped beryllium ablator layer in indirect drive scheme,Radiation Physics and Engineering,2023,"Indirect drive inertial confinement fusion (ICF) holds promise for achieving practical energy generation through controlled fusion reactions. However, the efficiency of ICF is constrained by the Be ablator material used to contain the fuel. To overcome this limitation, researchers have proposed doping Be with various elements. In this study, we investigate the effects of Na and Br dopants, incorporated at concentrations of ۴.۸۶% and ۲.۱%, respectively, using a one-dimensional MULTI-IFE hydrodynamic code. This code serves as a numerical tool dedicated to analyzing Inertial Fusion Energy microcapsules, facilitating the examination of the Be ablator's performance in indirect drive ICF. Our results indicate that the addition of a beryllium layer doped with Na and Br significantly enhances the target gain, elevating it from the break-even value (G ≈ ۱) to approximately G ≈ ۱۲. Furthermore, we delve into the impact of these dopants on the plasma fuel conditions during the implosion, shedding light on the underlying physics of the system. These findings demonstrate that Na and Br doping in the Be ablator represents a viable approach for improving the efficiency of indirect drive ICF, potentially paving the way for the development of practical fusion energy systems.",https://en.civilica.com/doc/1764238/
P0048,Studying the effect of impurities AU on DT fuel combustion conditions in fusion plasma by stagnant enclosure method,journal of nuclear Science and technology,2023,"The conditions and the flamm of nuclear fusion fuels in the presence of impurities are one of the important things to consider in the design of fuel pills.In this paper, the effect of heavy gold kernel impurities on all combustion processes in the non-template-trimium fuel plasma is examined in the four-temperature model in which the form of energy distribution affects the temperature behavior of the photons.This study includes the negative effects of fuel impurities, during the time of hot stain formation and fuel flammation.The results of numerical calculations obtained from simulating all combustion processes show that due to the presence of these impurities, the effective ionic load and consequently the brake radiation increases, which ultimately reduces fuel efficiency.",https://en.civilica.com/doc/1768547/
P0049,Enhancing inertial confinement fusion with doped beryllium ablator layer in indirect drive scheme,Radiation Physics and Engineering,2023,"Indirect drive inertial confinement fusion (ICF) holds promise for achieving practical energy generation through controlled fusion reactions. However, the efficiency of ICF is constrained by the Be ablator material used to contain the fuel. To overcome this limitation, researchers have proposed doping Be with various elements. In this study, we investigate the effects of Na and Br dopants, incorporated at concentrations of ۴.۸۶% and ۲.۱%, respectively, using a one-dimensional MULTI-IFE hydrodynamic code. This code serves as a numerical tool dedicated to analyzing Inertial Fusion Energy microcapsules, facilitating the examination of the Be ablator's performance in indirect drive ICF. Our results indicate that the addition of a beryllium layer doped with Na and Br significantly enhances the target gain, elevating it from the break-even value (G ≈ ۱) to approximately G ≈ ۱۲. Furthermore, we delve into the impact of these dopants on the plasma fuel conditions during the implosion, shedding light on the underlying physics of the system. These findings demonstrate that Na and Br doping in the Be ablator represents a viable approach for improving the efficiency of indirect drive ICF, potentially paving the way for the development of practical fusion energy systems.",https://en.civilica.com/doc/1764238/
P0050,Plastic deformation of synergic and non -metallic multilayer sheets with constant surface density under frequent excretion,Aerospace Mechanics,2022,"In the present study, the mechanism of large -scale plastic and non -metallic and non -metallic metal sheets with constant surface density has been examined under uniform recurrence.The ballistic pendulum system along with a 5mm -high -incisure pipeline was used to apply explosive loads to the sample.The experimental sample was considered in three different single, two and three layers with eight different layers.To create the same loading and experimental conditions, 5 grams of plastic explosives were used and the dynamic response of each structure was studied up to 3 frequent loading loads.Laboratory results indicate a large deformation of plastic with thinning at the border borders as well as the tearing of some experiments.The results also showed that with the increase in the number of explosions, the most permanent rise of the sheets increased, and with the increase in the number of explosions, the progressive rise of the sheet in the center decreased.In addition, the placement of a thick layer in the front and the support of a thinner structure gives a better performance to the experimental sample against frequent explosive load.The result for multilayer multilayer structures is completely in accordance with the results of non -sexual structures.",https://en.civilica.com/doc/1489896/
P0051,Amirkabir University of Technology/University of Damghan/University of Damghan,Iranian Journal of Radiation Safety and Measurement,2019,"In this study, a flexible composite shield was designed and manufactured for a combination of polyethylene, tungsten and carbide for the mixed neutron-gama fields.For this purpose, in the first step, theoretical studies using MCNP multifunctional code and secondly according to the results of simulation studies, for the first time in the country of multipurpose composite using the hard phase composition of the carbide particleTungsten metal powder and a combination of different types of soft and hard polyethylene were made in laboratory in the center of Iran Polymer and Petrochemical Company.In the third stage for shielding, the weakening of the AM-BEF Springs neutron flux was measured using the 4BF detector and the weakening of the Gama Springs of the Sizium Springs µCI ۱۰۰۰ Using the NAI detector.The results show that in polyethylene/ carbide/ tungsten (PE/ B4C/ W) composite due to the micrometer dimensions of the reinforcement particles and the upper cross -sectional level of radioactive beam action with these particles, the combined shield with much less thickness than the shieldsThe usual has the ability to absorb more absorption against gamma and neutrons.The thickness of 1.5 cm with 2 % tungsten and 2 % boron absorbs about 2 percent of the ampel-berilium spring neutrons, and reduces the cs spring gamma gamma flux by 2 cm thick.",https://en.civilica.com/doc/1423189/
P0052,Calculating dose distribution in proton therapy by Monte Carlo method,Iranian Journal of Radiation Safety and Measurement,2018,"Proton therapy, which is a common form of external radiation therapy and based on the Bragg's peak, can cure it by delivering high levels of dose to the tumor, while keeping the surrounding healthy tissues protected from radiation.In this task, the distribution of dose protons and secondary particles such as neutrons, photons, electrons and positrons has been studied in gastric cancer therapy.For this purpose, using a single proton energy beam, the appropriate energy interval for the treatment of tumor in the gastric tissue is calculated by an adult-a adult adult phantom and then using the dosimeter results to make the SOBP related to the matrix method.The primary and secondary dose was also examined in four healthy organs around the surrounding organs, which shows that the initial dose is much smaller in healthy organs than the dose of the tumor.The secondary dosage is low, but its levels inside the stomach, spleen, pancreas and left kidney were more than other organs.The results of the studies show that gastric cancer proton therapy can exhibit an almost ideal radiation by determining the risks of secondary particles, especially neutron equivalent.",https://en.civilica.com/doc/1423209/
P0053,Simulate the effects of proton and electron radiation on protective layers in the digital logic cell inside the FPGA chip using Fluka code,Iranian Journal of Radiation Safety and Measurement,2020,"In this article, the effects of proton and electron radiation on protective layers in the digital logic cell in the FPGA chip are simulated using Fluka code.Using the Monte Carlo Code, electrons and protons have been examined in a logical cell for the digital gate within the FPGA chip.In this simulation, the maximum energy of the electrons and protons imported into the logical chip is between 1 and 2 MW of 2 megalatV and the effects of radiation disorders on semiconductor materials as well as some of the harmful effects of electron and proton radiation in five different structures by applyingAluminum, silicone, silicone dioxide, bourne and oxide layers have been studied.The results of simulations show that using a thick layer of silicone dioxide in different layers will reduce the effects of disorders compared to other structures.",https://en.civilica.com/doc/1423119/
P0054,Patterns of dispersal of driver -driven materials due to accidents in nuclear power plants around Iran,Iranian Journal of Radiation Safety and Measurement,2017,"Outgoing radiation from a power plant may also be scattered at the time of the accident under the influence of atmospheric currents to the distant lands of the power plant.Models have been suggested to predict how this distribution is distributed.This article reports part of the research results in which one of these models called the Hysplit model, the distribution patterns of some cesium and iodine radiation isotopes from ten to 2 degrees North latitude (north latitudeN) and 1 to 2 degrees Eastern (E) has been studied.The results show that all of these plants can also contaminate Iran if seriously damaged.Thus, the measures taken to combat nuclear accidents should consider not only the Bushehr power plant, but also the entire power plant in the area.The results of this simulation can be used to accommodate the radius material alert stations.",https://en.civilica.com/doc/1423241/
P0055,Impact of the external magnetic field on the electron energy in the condensing fuel in its fast-shock model using the Geant 4 simulation tool,journal of nuclear Science and technology,2020,"In this study, the effects of the external magnetic field T (1-1) on the amount of the energy strength of the relativistic electrons into the density plasma for the combination of the fast-shock-shock combination model were studied and studied using the Geant2 simulation tool..In the simulation model, there are two types of exponential and quasi-eradicular energy distribution for relativistic electrons with the range of energy.Simulation results in the presence of an external magnetic field indicate that the dynamics of relativistic electrons are affected by the external magnetic field and thus optimize their energy transfer into the fuel. A comparison of the simulation results shows the optimization of energy fostering in exchange for optimization.The density is obtained in the presence of a magnetic field with a laser wavelength of mm2 = IFλ and laser intensity-w.cm ۱۱۲۱۱۱۱۱۱۱۱۱۱۱۱۱۱۱۱۱۱۱۱۱۱۱۱۱۱۱۱۱۱۱۱۱۱۱۱۱۱۱۱۱۱۱۰ Improvement, so it can be said that by increasing the external magnetic field, the amount of energy fashion with the song slows and slowly grows.In this study, the effects of the external magnetic field T (1-5) = bext on the amount of energy strength of the relativist electrons into the density plasma for the combination model of the fast-shock-shock-powered combination and using the Geant2 simulation tool.In the simulation model, there are two types of exponential and quasi-dysfunctional distribution for relativistic electrons with a range of energy.Simulation results in the presence of an external magnetic field indicate that the dynamics of relativistic electrons are affected by the external magnetic field and thus optimize their energy transfer into the fuel. The results of the simulation indicate the optimization of energy stylization in the presence of the magnetic field.With the wavelength of the laser mm2 = IFλ and the intensity of the laser-w.cm 1 = I, it can be said that with the increase of the external magnetic field, the amount of energy foster with the song slows down and grows slowly.",https://en.civilica.com/doc/1361408/
P0056,Study of the traumatic wave approach on DT targets with reactor scale in heavy ion fusion,The Physics Society Of Iran,2017,"The pre -compact fuel -convergence fuel is a new design as a new design in the confusion of the lacquer, under the aim of achieving high interest rates and providing it on the threshold of lower energy.In this study, energy optimization was performed due to the hydrodynamic efficiency and energy interest in a five -layer fuel shot with the scales of nuclear fusion reactors with a heavy -duty launcher by Deira 4's one -dimensional code.Then, by replacing the parables by three stages of the beatings, the power and time of each pulse is optimized and its impact on the amount of energy consumed, fuel interest and reduced Riley-Taylor's instability has been evaluated.Calculations show that the optimized target with DT fuel was obtained by applying three-stage lead-207 heavy-duty, 542 corresponding energy interest rates with 21 %increase in energy interest and 19 %decrease in driver energy.Also, the decrease in the internal explosion rate and the exponential growth parameter 1 indicates more fuel stability in the plumage to the wave of multiplication against hydrodynamic instability than the central.",https://en.civilica.com/doc/820484/
P0057,Studying the Biological Effects of Rapid Neutrons (MEV3-5) by Monte Carlo's method on the atomic structure of the living cells,journal of nuclear Science and technology,2020,"The present study examines the direct effects of rapid neutron beams in the energy range 1 to MEV ۱۴ and calculates the dual and bilateral failures of the DNA atomic structure by Montarloo.The Geant 4 tool and the low energy package package were used.The atomic structure of the DNA extracted from the protein database and the water material were selected as the environment.In the physics of the list of low energy related, the step length is nanomed and lower, and on the other hand, the average free path of neutrons within the range in question was obtained.With these conditions, the program will also be prolonged using a computing computer.As a result, the spectrum of secondary particles caused by the interaction of neutrons with the atoms of water molecules was shining.The spectrum of secondary particles was extracted with the help of the EndF library and theoretical calculations.This reduced the duration of the program to more than one tenth.Then relative biological effectiveness, RBE, neutrons were calculated as reference radiation by selecting cobalt gamma rays.The results predict the almost consistent behavior for RBE in terms of a function of energy, which is well in line with other research.",https://en.civilica.com/doc/1361464/
P0058,Conceptual design of Tehran Research Reactor Reactor Using Circular Fuel,journal of nuclear Science and technology,2022,"The purpose of this article is to investigate the possibility of using fuel with circular geometry to optimize it in Tehran's research reactor from neutron perspective.In the use of circular fuels, due to higher flux and more reactive production, less fuel loading requires less fuel loading.Therefore, in this study, the Tehran research reactor uses a new fuel with circular geometry to replace current fuel with plate geometry.This fuel is similar to the Tehran reactor fuel.For this purpose, heart neutron parameters include effective proliferation, reactive, three-group neutron flux distribution, maximum power coefficient, reactive safety coefficient, value of control rods, using MCNPX.1.1 and WIMS-Citation codes.The results of these codes were then compared with the results of the Tehran Research Research Reactor (SAR) report.The results show that the relative difference of the relative difference for reactive parameters and the maximum power coefficient for the tiubular reactor from the MCNPX code is about 0.5 and -5 %, respectively, compared to the TRR-SAR results.Also, the results in this article show that to reach the reactive equivalent of the first heart of the Tehran Research Reactor, about pcm, the tinguist heart's mass is reduced by about 2%.On the other hand, using neutron circular fuel in radiation channels increases by about 2%.Also, according to the results of this study, the proposed heart of the tingolar, a 2 -layer heart and at least 2 packages of the control bar is necessary to achieve safety criteria.",https://en.civilica.com/doc/1430015/
P0059,Optimization of 241am-BE neutron spring radiation angle embedded in neutron porosity tools to enhance accuracy in determining the porosity of the calcite facility,The Physics Society Of Iran,2019,"Hydrocarbon reserves are very important today, so these resources need to be explored and evaluated more accurately.One of these methods is a well that measures one or more features of the formation by sending a measurement tool into the bore.Measurement tools in the nuclear well include a radiation and detector.In this article, using simulation with Mont Cartherloo 2/6 MCNPX, the optimal angle of radiation (relative to the horizontal axis of the coordinates) particles from the neutron-brailium spring to the calcite to achieve the highest possible accuracy for determining the water porosity.Is.The results show that the 20 -degree emission angle, in addition to high accuracy (3 % porosity separation), will increase the speed of the tool in sampling due to increased count statistics in detectors without a tangible change in penetration depth.",https://en.civilica.com/doc/1157634/
P0060,Evaluation of neutron -induced dose level around a DD/DT neutron generator and a suitable shield design for standing user,Iranian Journal of Radiation Safety and Measurement,2020,"Neutron generators have different applications as neutron springs.In recent years, many efforts have been made to develop high -production neutron generators.As such, it is necessary to consider beam protection during the operation of neutron generators.In this study, with the help of MCNPX code, the effective dose of neutron was first calculated and evaluated around a neutron generator.The results show that neutron dose in neutron generators depends on the position of the device and the type of neutron generator.The dose is about 5 times higher than DD generators.The results also show that with an increase in the distance by up to five meters, the dose rate decreases by about 20 times.Increasing distance is one of the effective ways to reduce dose, but in laboratories where there is not enough space, a proper shield should be designed.
For the right protection design, shields in 2 different genres (Alf2, baled-polyethylene, Concrete ۲۰۱۰, paraphfine, polyethylene, non-baled, solid-boric-aacid) and in thicknesses 1, 2, 2, 2 and 2, and 2Centter was designed and the components of gamma flux, effective dose of gamma, thermal neutrons, super thermal neutrons, rapid neutrons flux, total neutron flux, and effective dosage of neutrons were calculated in hypothetical spherical phantom.The results showed that Baled-Polyetheylene shield for both DD and DT springs at the thickness of 2 cm has the lowest dose neutron and also in the thickness of 2 cm with lower gamma dose compared to other shields in both DD and DT springsIs.",https://en.civilica.com/doc/1423093/
P0061,‎Assessment of shielding performance of nitrile butadiene rubber through simulation and experiments at MNSR beam line,Radiation Physics and Engineering,2024,"New nitrile butadiene rubber (NBR) materials are being considered to use for neutron shielding especially for the positions which needs a flexible neutron shield. Such light, low-cost, and suitable material could be used for sealing of the gaps or even for shielding of low radiation environments. In the present work, experimental investigation of NBR shielding performance of neutrons and gamma rays was proposed using the beam line of the Isfahan Miniature Neutron Source Reactor . MCNPX code was used to simulate the ۳۰ kW research reactor beam line. Six NBR sheet with ۲ cm thickness were used at the outlet of the beam line respectively to measure its neutron shielding as well as gamma shielding power on thickness. The experiment situations were modeled using the computational code. The obtained results showed the flexible and cheap material could be used as a good neutron shield while it acts as a very weak shield for gamma rays too. Also there is good conformity between simulation and experimental data with maximum ۳۷% relative discrepancy.",https://en.civilica.com/doc/1961788/
P0062,Evaluation of the Transition Mode of accidents leads to local melting without emergency shutdowns by integrating MCNPX and COBRA/E.,journal of nuclear Science and technology,2022,Imam Hossein University/Imam Hossein University,https://en.civilica.com/doc/1430036/
